dataset,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,tf_num_tensors,tf_num_bytes
collected_data_analysis,Scaled Manhattan Distance,browser_worker,A001,4,3,64,52,0.3269230769230769,0.3333333333333333,0.3301282051282051,0.6727272727272727,0.6346153846153846,-32.30720087789883,0,0.0018181818452748385,0.10000000149011612,not_available,not_available,not_available,not_available
collected_data_analysis,Scaled Manhattan Distance,browser_worker,A001_1,3,2,65,53,0,0,0,1,1,-29.57233782135661,0,0,0,not_available,not_available,not_available,not_available
collected_data_analysis,Scaled Manhattan Distance,browser_worker,A003,3,2,65,53,0.32075471698113206,0.5,0.410377358490566,0.6727272727272727,0.7735849056603774,-67.36161159235776,0,0,0,not_available,not_available,not_available,not_available
collected_data_analysis,Scaled Manhattan Distance,browser_worker,A004,3,3,65,52,0.3269230769230769,0.3333333333333333,0.3301282051282051,0.6727272727272727,0.7884615384615384,-69.94865498316311,0,0,0,not_available,not_available,not_available,not_available
collected_data_analysis,Scaled Manhattan Distance,browser_worker,A005,4,3,64,52,0.038461538461538464,0,0.019230769230769232,0.9636363636363636,0.967948717948718,-21.26927276565628,0.10000000149011612,0,0,not_available,not_available,not_available,not_available
collected_data_analysis,Scaled Manhattan Distance,browser_worker,A006,3,2,65,53,0.49056603773584906,0.5,0.49528301886792453,0.509090909090909,0.4528301886792453,-133.1831032551842,0,0,0,not_available,not_available,not_available,not_available
collected_data_analysis,Scaled Manhattan Distance,browser_worker,A008,3,3,65,52,0.5769230769230769,0.6666666666666666,0.6217948717948718,0.41818181818181815,0.5769230769230769,-11238.870895566715,0.10000000149011612,0,0,not_available,not_available,not_available,not_available
collected_data_analysis,Scaled Manhattan Distance,browser_worker,A009,3,3,65,52,0.9038461538461539,1,0.9519230769230769,0.09090909090909091,0.057692307692307696,-13000020.669075593,0,0,0,not_available,not_available,not_available,not_available
collected_data_analysis,Scaled Manhattan Distance,browser_worker,A010,4,3,64,52,0.019230769230769232,0,0.009615384615384616,0.9818181818181818,0.9935897435897436,-17.572505732129756,0,0,0,not_available,not_available,not_available,not_available
collected_data_analysis,Scaled Manhattan Distance,browser_worker,A011,3,2,65,53,0.8301886792452831,1,0.9150943396226415,0.16363636363636364,0.08490566037735849,-6000116.830336757,0.09999999776482582,0,0,not_available,not_available,not_available,not_available
