dataset,Model,Genuine Training Samples,EER,evaluated_subjects,elapsed_ms,stopped_after_target_reached
dsl,Scaled Manhattan Distance,5,0.2520264705882353,51,252.80000000074506,false
dsl,Scaled Manhattan Distance,10,0.23951568627450978,51,239.7000000011176,false
dsl,Scaled Manhattan Distance,25,0.21866274509803918,51,242.7999999988824,false
dsl,Scaled Manhattan Distance,50,0.19582647058823524,51,246.2000000011176,false
dsl,Scaled Manhattan Distance,100,0.16979411764705882,51,241,false
dsl,Scaled Manhattan Distance,200,0.14297254901960785,51,245.5,false
dsl,LightGBM Classifier,5,0.2791196078431372,51,190871.5,false
dsl,LightGBM Classifier,10,0.23894215686274506,51,208281.40000000037,false
dsl,LightGBM Classifier,25,0.17214509803921563,51,246190,false
dsl,LightGBM Classifier,50,0.13998333333333335,51,333983.5,false
dsl,LightGBM Classifier,100,0.09182058823529407,51,414060.7000000011,true
dsl,1D-CNN TFJS,5,0.39463725490196083,51,277557.1000000015,false
dsl,1D-CNN TFJS,10,0.3965156862745097,51,275742.5999999996,false
dsl,1D-CNN TFJS,25,0.3776009803921569,51,975794.8000000007,false
dsl,1D-CNN TFJS,50,0.3614098039215687,51,330609.8999999985,false
dsl,1D-CNN TFJS,100,0.37457549019607833,51,279170.2000000011,false
dsl,1D-CNN TFJS,200,0.34924901960784305,51,334939.9000000004,false
