dataset,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,tf_num_tensors,tf_num_bytes
dsl,Scaled Manhattan Distance,browser_worker,s002,200,200,10000,10000,0.27,0.27,0.27,0.73,0.7859045,-32.375543798682514,0.7000000011175871,0.00017647058812572674,1.799999998882413,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s003,200,200,10000,10000,0.3513,0.35,0.35065,0.6487254901960784,0.7330475,-32.18584786073583,0.40000000037252903,0.0002647058822798963,2.699999999254942,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s004,200,200,10000,10000,0.1531,0.155,0.15405000000000002,0.8468627450980392,0.9189565,-27.538016346412046,0.40000000037252903,0.00005882352937524225,0.599999999627471,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s005,200,200,10000,10000,0.0458,0.045,0.045399999999999996,0.9542156862745098,0.9861645,-31.118901676694097,0.19999999925494194,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s007,200,200,10000,10000,0.32,0.32,0.32,0.68,0.753257,-31.83435726120152,0.2000000011175871,0.000039215686128419986,0.3999999985098839,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s008,200,200,10000,10000,0.16,0.16,0.16,0.84,0.9069835,-26.488117567324373,0.10000000149011612,0.000039215686128419986,0.3999999985098839,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s010,200,200,10000,10000,0.04,0.04,0.04,0.96,0.992247,-29.874857502627,0.09999999962747097,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s011,200,200,10000,10000,0.29,0.29,0.29,0.71,0.7914635,-28.06821243821415,0.09999999962747097,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s012,200,200,10000,10000,0.0777,0.08,0.07885,0.9222549019607843,0.979317,-25.11056188161379,0.09999999962747097,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s013,200,200,10000,10000,0.1566,0.155,0.1558,0.8434313725490196,0.923487,-31.64508544089194,0.19999999925494194,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s015,200,200,10000,10000,0.235,0.235,0.235,0.765,0.8313095,-26.01397075061949,0.09999999962747097,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s016,200,200,10000,10000,0.055,0.055,0.055,0.945,0.981578,-36.4941132016413,0.19999999925494194,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s017,200,200,10000,10000,0.045,0.045,0.045,0.955,0.9922455,-40.20590297743386,0.2000000011175871,0.00002941176459631499,0.2999999988824129,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s018,200,200,10000,10000,0.2228,0.225,0.2239,0.777156862745098,0.8505125,-23.023892403384743,0.10000000149011612,0.000039215686128419986,0.3999999985098839,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s019,200,200,10000,10000,0.04,0.04,0.04,0.96,0.9876475,-32.03517548627781,0.09999999962747097,0.00002941176459631499,0.2999999988824129,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s020,200,200,10000,10000,0.24,0.24,0.24,0.76,0.830957,-22.85556525996829,0.09999999962747097,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s021,200,200,10000,10000,0.161,0.16,0.1605,0.8390196078431372,0.9129705,-27.34795571659468,0.19999999925494194,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s022,200,200,10000,10000,0.0302,0.03,0.030100000000000002,0.9698039215686275,0.995343,-35.69003534029115,0.09999999962747097,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s024,200,200,10000,10000,0.038,0.04,0.039,0.9619607843137254,0.9962015,-30.378176188753148,0.09999999962747097,0.00002941176477892726,0.30000000074505806,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s025,200,200,10000,10000,0.065,0.065,0.065,0.935,0.9764065,-32.946764171763114,0.09999999962747097,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s026,200,200,10000,10000,0.085,0.085,0.085,0.915,0.9677515,-29.72233403606398,0.10000000149011612,0.000039215686128419986,0.3999999985098839,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s027,200,200,10000,10000,0.075,0.075,0.075,0.925,0.9686925,-33.148770046523644,0,0.00003921568631103226,0.40000000037252903,not_available,not_available,not_available,not_available
dsl,Scaled Manhattan Distance,browser_worker,s028,200,200,10000,10000,0.0496,0.05,0.0498,0.9503921568627451,0.9867025,-40.78864115541143,0,0.00004901960784313725,0.5,not_available,not_available,not_available,not_available
