dataset,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,genuine_training_samples,evaluated_subjects,EER,environmentId,perceived_latency_ms,worker_elapsed_ms,completed_at
mmc,Scaled Manhattan Distance,1,train_and_infer,12.199999999254942,4.199999999254942,8,0.008,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,2,train_and_infer,9.400000000372529,1.300000000745058,8.099999999627471,0.008099999999627471,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,3,train_and_infer,8.599999999627471,0.2999999988824129,8.300000000745058,0.008300000000745059,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,4,train_and_infer,8.800000000745058,0.599999999627471,8.200000001117587,0.008200000001117588,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,5,train_and_infer,8.800000000745058,0.6999999992549419,8.100000001490116,0.008100000001490117,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,6,train_and_infer,8.900000000372529,0.599999999627471,8.300000000745058,0.008300000000745059,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,7,train_and_infer,8.5,0.19999999925494194,8.300000000745058,0.008300000000745059,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,8,train_and_infer,8.400000000372529,0.19999999925494194,8.200000001117587,0.008200000001117588,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,9,train_and_infer,8.900000000372529,0.19999999925494194,8.700000001117587,0.008700000001117586,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,10,train_and_infer,8.399999998509884,0.19999999925494194,8.199999999254942,0.008199999999254942,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,11,train_and_infer,8.299999998882413,0.19999999925494194,8.099999999627471,0.008099999999627471,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,12,train_and_infer,8.599999999627471,0.2000000011175871,8.399999998509884,0.008399999998509884,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,13,train_and_infer,8.599999999627471,0.2000000011175871,8.399999998509884,0.008399999998509884,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,14,train_and_infer,8.400000000372529,0.30000000074505806,8.099999999627471,0.008099999999627471,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,15,train_and_infer,8.299999998882413,0.2999999988824129,8,0.008,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,16,train_and_infer,8.300000000745058,0.2000000011175871,8.099999999627471,0.008099999999627471,not_available,not_available,,,,,,,
mmc,Scaled Manhattan Distance,17,train_and_infer,8.300000000745058,0.19999999925494194,8.100000001490116,0.008100000001490117,not_available,not_available,,,,,,,
