dataset,Model,Genuine Training Samples,EER,evaluated_subjects,elapsed_ms,stopped_after_target_reached
mmc,Scaled Manhattan Distance,1,0.42197959183673467,50,276.5,false
mmc,Scaled Manhattan Distance,2,0.4594489795918367,50,273.80000000074506,false
mmc,Scaled Manhattan Distance,5,0.4038469387755102,50,274.19999999925494,false
mmc,Scaled Manhattan Distance,10,0.3657244897959185,50,275.90000000037253,false
mmc,Scaled Manhattan Distance,20,0.3311428571428571,50,280.40000000037253,false
mmc,LightGBM Classifier,1,0.451642857142857,50,79538,false
mmc,LightGBM Classifier,2,0.442969387755102,50,86513.39999999851,false
mmc,LightGBM Classifier,5,0.4101632653061224,50,93110.19999999925,false
mmc,LightGBM Classifier,10,0.40181632653061217,50,110263.90000000037,false
mmc,LightGBM Classifier,20,0.32180612244897966,50,148292.59999999963,false
mmc,1D-CNN TFJS,1,0.3369081632653062,50,107177.90000000037,false
mmc,1D-CNN TFJS,2,0.33410204081632655,50,109080.80000000075,false
mmc,1D-CNN TFJS,5,0.3181020408163264,50,106984.69999999925,false
mmc,1D-CNN TFJS,10,0.2961020408163266,50,107430.39999999851,false
mmc,1D-CNN TFJS,20,0.29432653061224495,50,99386.40000000037,false
