dataset,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,tf_num_tensors,tf_num_bytes
mmc,Scaled Manhattan Distance,browser_worker,1,20,20,980,980,0.2,0.2,0.2,0.8,0.8493367346938776,-1685.2751896793661,4.199999999254942,0.008,8,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,2,20,20,980,980,0.07142857142857142,0.05,0.060714285714285714,0.929,0.9730102040816326,-1166.5226942662075,1.300000000745058,0.008099999999627471,8.099999999627471,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,3,20,20,980,980,0.3,0.3,0.3,0.7,0.6955102040816327,-1261.8275320965236,0.2999999988824129,0.008300000000745059,8.300000000745058,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,4,20,20,980,980,0.1,0.1,0.1,0.9,0.9382142857142857,-1353.2369392262822,0.599999999627471,0.008200000001117588,8.200000001117587,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,5,20,20,980,980,0.18571428571428572,0.2,0.19285714285714287,0.814,0.8694897959183674,-1426.821501390267,0.6999999992549419,0.008100000001490117,8.100000001490116,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,6,20,20,980,980,0.4,0.4,0.4,0.6,0.6258673469387755,-1374.1503551701578,0.599999999627471,0.008300000000745059,8.300000000745058,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,7,20,20,980,980,0.3448979591836735,0.35,0.34744897959183674,0.655,0.7424489795918368,-1417.0316467639395,0.19999999925494194,0.008300000000745059,8.300000000745058,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,8,20,20,980,980,0.4326530612244898,0.45,0.4413265306122449,0.567,0.5651020408163265,-1472.0005476842446,0.19999999925494194,0.008200000001117588,8.200000001117587,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,9,20,20,980,980,0.4816326530612245,0.5,0.49081632653061225,0.518,0.488469387755102,-1267.747810542446,0.19999999925494194,0.008700000001117586,8.700000001117587,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,10,20,20,980,980,0.3295918367346939,0.35,0.3397959183673469,0.67,0.6866326530612245,-1431.431281212617,0.19999999925494194,0.008199999999254942,8.199999999254942,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,11,20,20,980,980,0.25,0.25,0.25,0.75,0.7429591836734694,-1355.012183943886,0.19999999925494194,0.008099999999627471,8.099999999627471,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,12,20,20,980,980,0.6,0.6,0.6,0.4,0.35239795918367345,-1680.4088629958972,0.2000000011175871,0.008399999998509884,8.399999998509884,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,13,20,20,980,980,0.35,0.35,0.35,0.65,0.6898979591836735,-1478.8489800480972,0.2000000011175871,0.008399999998509884,8.399999998509884,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,14,20,20,980,980,0.3,0.3,0.3,0.7,0.7530102040816327,-1968.211717685594,0.30000000074505806,0.008099999999627471,8.099999999627471,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,15,20,20,980,980,0.523469387755102,0.5,0.511734693877551,0.477,0.5116836734693877,-1888.647919630132,0.2999999988824129,0.008,8,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,16,20,20,980,980,0.35714285714285715,0.35,0.35357142857142854,0.643,0.6498469387755103,-1537.4340240662657,0.2000000011175871,0.008099999999627471,8.099999999627471,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,17,20,20,980,980,0.35,0.35,0.35,0.65,0.6787755102040817,-1413.4077606248065,0.19999999925494194,0.008100000001490117,8.100000001490116,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,18,20,20,980,980,0.4,0.4,0.4,0.6,0.6191326530612244,-1781.623604734027,0.19999999925494194,0.008099999999627471,8.099999999627471,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,19,20,20,980,980,0.2,0.2,0.2,0.8,0.9058163265306123,-1708.5915589179892,0.2000000011175871,0.005599999999627471,5.599999999627471,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,20,20,20,980,980,0.5,0.5,0.5,0.5,0.5219897959183674,-1393.3901718866628,0.19999999925494194,0.005100000001490116,5.100000001490116,not_available,not_available,not_available,not_available
mmc,Scaled Manhattan Distance,browser_worker,21,20,20,980,980,0.5,0.5,0.5,0.5,0.4717857142857143,-1912.5753489983574,0.2000000011175871,0.005,5,not_available,not_available,not_available,not_available
