dataset,source_dataset,feature_mode,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,adaptive_selected_feature_count,genuine_training_samples,evaluated_subjects,EER,completed_at
dsl,dsl,current,Scaled Manhattan Distance,s002,train_and_infer,1.0740410034486558,0.5113750012242235,0.5626660022244323,5.516333355141493e-05,205406208.0,208044032.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s003,train_and_infer,0.7609169988427311,0.09016699914354831,0.6707499996991828,6.575980389207674e-05,210075648.0,210124800.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s004,train_and_infer,0.9549589995003771,0.07362500036833808,0.881333999132039,8.640529403255285e-05,210550784.0,213221376.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s005,train_and_infer,0.74487499659881,0.16179199883481488,0.5830829977639951,5.7164999780783834e-05,214843392.0,214843392.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s007,train_and_infer,0.6215000030351803,0.08320800043293275,0.5382920026022475,5.2773725745318386e-05,215203840.0,216498176.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s008,train_and_infer,0.6602499961445574,0.08399999933317304,0.5762499968113843,5.649509772660631e-05,216825856.0,216825856.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s010,train_and_infer,0.6214999993972015,0.08741700003156438,0.5340829993656371,5.2361078369180105e-05,220708864.0,223346688.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s011,train_and_infer,0.6870420002087485,0.08600000001024455,0.601042000198504,5.8925686293970976e-05,223690752.0,223707136.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s012,train_and_infer,1.0050419987237547,0.09079200026462786,0.9142499984591268,8.963235279011046e-05,226197504.0,227508224.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s013,train_and_infer,0.5035010035498999,0.06954200216569006,0.43395900138420984,4.254500013570685e-05,227835904.0,227835904.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s015,train_and_infer,0.5846669992024545,0.07741700028418563,0.5072499989182688,4.973039205081067e-05,228163584.0,228163584.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s016,train_and_infer,0.8861669994075783,0.10262499927193858,0.7835420001356397,7.681784315055291e-05,228491264.0,228491264.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s017,train_and_infer,0.5814579999423586,0.09712500104797073,0.48433299889438786,4.7483627342587044e-05,228835328.0,228835328.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s018,train_and_infer,0.5866660030733328,0.0760830007493496,0.5105830023239832,5.005715709058659e-05,229163008.0,229163008.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s019,train_and_infer,0.6302499969024211,0.08704199717612937,0.5432079997262917,5.325568624767566e-05,229556224.0,230113280.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s020,train_and_infer,0.6305839997367002,0.075916999776382,0.5546669999603182,5.437911764316845e-05,230457344.0,230457344.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s021,train_and_infer,0.6690829977742396,0.09204199886880815,0.5770409989054315,5.657264695151289e-05,230785024.0,230785024.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s022,train_and_infer,0.577667000470683,0.07779199950164184,0.49987500096904114,4.90073530361805e-05,231112704.0,231112704.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s024,train_and_infer,0.545832997886464,0.06895799742778763,0.47687500045867637,4.675245102536043e-05,231440384.0,231440384.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s025,train_and_infer,0.5662509975081775,0.07716699838056229,0.48908399912761524,4.794941167917796e-05,231768064.0,231768064.0,not_enabled,,,,
dsl,dsl,current,Scaled Manhattan Distance,s026,train_and_infer,0.6276669992075767,0.08454199996776879,0.543124999239808,5.324754894507921e-05,232128512.0,232144896.0,not_enabled,,,,
