dataset,source_dataset,feature_mode,feature_set,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,adaptive_selected_feature_count
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,s002,200,200,10000,10000,0.27,0.27,0.27,0.73,0.7859044999999999,-32.37554168701172,0.5113750012242235,5.516333355141493e-05,0.5626660022244323,205406208,208044032,not_enabled
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,s003,200,200,10000,10000,0.3513,0.35,0.35065,0.6487254901960784,0.7330475,-32.185848236083984,0.09016699914354831,6.575980389207674e-05,0.6707499996991828,210075648,210124800,not_enabled
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,s004,200,200,10000,10000,0.1531,0.155,0.15405000000000002,0.8468627450980392,0.9189565,-27.538007736206055,0.07362500036833808,8.640529403255285e-05,0.881333999132039,210550784,213221376,not_enabled
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,s005,200,200,10000,10000,0.0458,0.045,0.045399999999999996,0.9542156862745098,0.9861645,-31.118898391723633,0.16179199883481488,5.7164999780783834e-05,0.5830829977639951,214843392,214843392,not_enabled
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,s007,200,200,10000,10000,0.32,0.32,0.32,0.68,0.7532575,-31.834362030029297,0.08320800043293275,5.2773725745318386e-05,0.5382920026022475,215203840,216498176,not_enabled
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,s008,200,200,10000,10000,0.16,0.16,0.16,0.84,0.9069834999999999,-26.48811912536621,0.08399999933317304,5.649509772660631e-05,0.5762499968113843,216825856,216825856,not_enabled
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,s010,200,200,10000,10000,0.04,0.04,0.04,0.96,0.992247,-29.874849319458008,0.08741700003156438,5.2361078369180105e-05,0.5340829993656371,220708864,223346688,not_enabled
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,s011,200,200,10000,10000,0.29,0.29,0.29,0.71,0.7914635,-28.068201065063477,0.08600000001024455,5.8925686293970976e-05,0.601042000198504,223690752,223707136,not_enabled
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,s012,200,200,10000,10000,0.0777,0.08,0.07885,0.9222549019607843,0.9793169999999999,-25.110572814941406,0.09079200026462786,8.963235279011046e-05,0.9142499984591268,226197504,227508224,not_enabled
dsl,dsl,current,dsl_current_h_dd_ud,Scaled Manhattan Distance,python_numpy,s013,200,200,10000,10000,0.1566,0.155,0.1558,0.8434313725490196,0.923487,-31.645076751708984,0.06954200216569006,4.254500013570685e-05,0.43395900138420984,227835904,227835904,not_enabled
