dataset,source_dataset,feature_mode,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,adaptive_selected_feature_count,genuine_training_samples,evaluated_subjects,EER,completed_at
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s002,train_and_infer,4.565207997075049,0.1674999984970782,4.397707998577971,0.0004311478429978403,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s003,train_and_infer,1.4215000010153744,0.0976250012172386,1.3238749997981358,0.00012979166664687605,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s004,train_and_infer,1.8167920025007334,0.10512500011827797,1.7116670023824554,0.0001678104904296525,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s005,train_and_infer,1.0379580016888212,0.10200000178883784,0.9359579998999834,9.176058822548857e-05,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s007,train_and_infer,2.8738330001942813,0.40987499960465357,2.4639580005896278,0.00024156450986172822,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s008,train_and_infer,1.7550820011820178,0.2647910005180165,1.4902910006640013,0.0001461069608494119,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s010,train_and_infer,1.2889169993286487,0.2176669986511115,1.0712500006775372,0.00010502450987034678,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s011,train_and_infer,1.1747919998015277,0.2287499992235098,0.9460420005780179,9.274921574294294e-05,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s012,train_and_infer,1.4314590007415973,0.14333400031318888,1.2881250004284084,0.0001262867647478832,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s013,train_and_infer,1.2292090032133274,0.12400000196066685,1.1052090012526605,0.00010835382365222162,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s015,train_and_infer,1.6537509982299525,0.14191700029186904,1.5118339979380835,0.00014821901940569447,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s016,train_and_infer,1.2157489982200786,0.1586660000612028,1.0570829981588759,0.00010363558805479174,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s017,train_and_infer,1.456750000215834,0.15870800052653067,1.2980419996893033,0.0001272590195773827,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s018,train_and_infer,1.7586250032763928,0.16608300211373717,1.5925420011626557,0.00015613156874143684,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s019,train_and_infer,1.8774169984681066,0.17674999980954453,1.700666998658562,0.0001667320586920159,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s020,train_and_infer,2.436958999169292,0.5896250004298054,1.8473339987394866,0.0001811111763470085,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s021,train_and_infer,1.5720429983048234,0.15320899910875596,1.4188339991960675,0.0001391013724702027,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s022,train_and_infer,3.0236670027079526,0.16312500156345777,2.860542001144495,0.00028044529422985244,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s024,train_and_infer,1.475542001571739,0.15429199993377551,1.3212500016379636,0.00012953431388607487,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s025,train_and_infer,1.5341670005000196,0.12575000073411502,1.4084169997659046,0.00013808009801626517,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s026,train_and_infer,1.6221250043599866,0.1356250031676609,1.4865000011923257,0.00014573529423454173,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s027,train_and_infer,1.9389590015634894,0.09366700032842346,1.845292001235066,0.00018091098051324175,2632728576.0,2632728576.0,96.0,,,,
dsl_enriched_features,dsl,enriched,Scaled Manhattan Distance,s028,train_and_infer,1.8677909974940121,0.2512909995857626,1.6164999979082495,0.00015848039195178915,2632728576.0,2632728576.0,96.0,,,,
