dataset,source_dataset,feature_mode,feature_set,Model,Genuine Training Samples,EER,evaluated_subjects,elapsed_ms,stopped_after_target_reached
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,Scaled Manhattan Distance,5,0.3006843137254902,51,5448.308750001161,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,Scaled Manhattan Distance,10,0.2911441176470588,51,5524.095000000671,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,Scaled Manhattan Distance,25,0.25932254901960783,51,5560.362000000168,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,Scaled Manhattan Distance,50,0.23355000000000004,51,5493.618999997125,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,Scaled Manhattan Distance,100,0.20510882352941176,51,5492.373917000805,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,Scaled Manhattan Distance,200,0.1690313725490196,51,5467.40433299783,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,LightGBM Classifier,5,0.30919509803921563,51,11764.620250000007,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,LightGBM Classifier,10,0.26940980392156866,51,13524.620874999528,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,LightGBM Classifier,25,0.19224313725490194,51,16382.6279169989,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,LightGBM Classifier,50,0.15234999999999999,51,19429.038041998865,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,LightGBM Classifier,100,0.09192549019607842,51,23670.135290998587,True
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,1D-CNN TensorFlow,5,0.4445852941176471,51,212742.9286250008,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,1D-CNN TensorFlow,10,0.41772352941176466,51,229779.02524999809,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,1D-CNN TensorFlow,25,0.39287352941176473,51,241601.29674999916,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,1D-CNN TensorFlow,50,0.3780235294117647,51,251241.45291700188,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,1D-CNN TensorFlow,100,0.371407843137255,51,265887.02141699835,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution_adaptive,1D-CNN TensorFlow,200,0.35228921568627447,51,271065.5190840007,False
