dataset,source_dataset,feature_mode,feature_set,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,adaptive_selected_feature_count
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,1,20,20,980,980,0.2,0.2,0.2,0.8,0.8493367346938776,-1685.275146484375,0.3154170008201618,0.007183374997111969,7.183374997111969,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,2,20,20,980,980,0.07142857142857142,0.05,0.060714285714285714,0.929,0.9730102040816326,-1166.522705078125,0.11358300253050402,0.006419999997888226,6.419999997888226,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,3,20,20,980,980,0.3,0.3,0.3,0.7,0.6955102040816327,-1261.8275146484375,0.19970900029875338,0.006692625000141561,6.692625000141561,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,4,20,20,980,980,0.1,0.1,0.1,0.9,0.9382142857142857,-1353.237060546875,0.18783399718813598,0.00731933399947593,7.31933399947593,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,5,20,20,980,980,0.18571428571428572,0.2,0.19285714285714287,0.814,0.8694897959183673,-1426.821533203125,0.15324999912991188,0.006680124999547843,6.680124999547843,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,6,20,20,980,980,0.4,0.4,0.4,0.6,0.6258673469387754,-1374.150390625,0.10866700176848099,0.006632124997850042,6.632124997850042,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,7,20,20,980,980,0.3448979591836735,0.35,0.34744897959183674,0.655,0.7424489795918368,-1417.03173828125,0.31229200249072164,0.006821166000008816,6.821166000008816,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,8,20,20,980,980,0.4326530612244898,0.45,0.4413265306122449,0.567,0.5651020408163265,-1472.00048828125,0.32691700107534416,0.006634207999013597,6.634207999013597,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,9,20,20,980,980,0.4816326530612245,0.5,0.49081632653061225,0.518,0.48846938775510207,-1267.747802734375,0.1367090007988736,0.00681224999789265,6.81224999789265,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,10,20,20,980,980,0.3295918367346939,0.35,0.3397959183673469,0.67,0.6866326530612245,-1431.431396484375,0.1353330007987097,0.006785749999835389,6.785749999835389,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,11,20,20,980,980,0.25,0.25,0.25,0.75,0.7429591836734694,-1355.01220703125,0.11649999942164868,0.006971833001443883,6.971833001443883,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,12,20,20,980,980,0.6,0.6,0.6,0.4,0.35239795918367345,-1680.4088134765625,0.11487499796203338,0.007031708999420516,7.031708999420516,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,13,20,20,980,980,0.35,0.35,0.35,0.65,0.6898979591836734,-1478.8489990234375,0.13208400196162984,0.006659082999249222,6.659082999249222,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,14,20,20,980,980,0.3,0.3,0.3,0.7,0.7530102040816327,-1968.211669921875,0.1442499997210689,0.006879333999677328,6.879333999677328,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,15,20,20,980,980,0.523469387755102,0.5,0.511734693877551,0.477,0.5116836734693877,-1888.64794921875,0.1233750008395873,0.006691708000289509,6.691708000289509,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,16,20,20,980,980,0.35714285714285715,0.35,0.35357142857142854,0.643,0.6498469387755103,-1537.43408203125,0.11829199866042472,0.0068191249993105885,6.8191249993105885,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,17,20,20,980,980,0.35,0.35,0.35,0.65,0.6787755102040817,-1413.40771484375,0.10695799937820993,0.006562874998053303,6.562874998053303,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,18,20,20,980,980,0.4,0.4,0.4,0.6,0.6191326530612244,-1781.6236572265625,0.12837499889428727,0.007293750000826549,7.293750000826549,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,19,20,20,980,980,0.2,0.2,0.2,0.8,0.9058163265306122,-1708.591552734375,0.12974999845027924,0.0067800409997289535,6.7800409997289535,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,20,20,20,980,980,0.5,0.5,0.5,0.5,0.5219897959183674,-1393.39013671875,0.15045799955260009,0.006800999999541091,6.800999999541091,4121182208,4121182208,not_enabled
mmc,mmc,current,mmc_flat_timing_channels_14_19,Scaled Manhattan Distance,python_numpy,21,20,20,980,980,0.5,0.5,0.5,0.5,0.4717857142857143,-1912.5753173828125,0.12249999781488441,0.0065347080017090775,6.5347080017090775,4121182208,4121182208,not_enabled
