dataset,source_dataset,feature_mode,feature_set,Model,Genuine Training Samples,EER,evaluated_subjects,elapsed_ms,stopped_after_target_reached
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,Scaled Manhattan Distance,1,0.0,50,776.835583000036,True
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,LightGBM Classifier,1,0.4864183673469388,50,6484.5844580000285,False
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,LightGBM Classifier,2,0.45438775510204077,50,9721.665250000002,False
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,LightGBM Classifier,5,0.45130612244897955,50,8056.276167000022,False
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,LightGBM Classifier,10,0.44611224489795914,50,8164.97824999999,False
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,LightGBM Classifier,20,0.4559183673469388,50,4986.3015829999995,False
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,1D-CNN TensorFlow,1,0.436765306122449,50,79178.36899999998,False
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,1D-CNN TensorFlow,2,0.4857244897959183,50,89086.8351250001,False
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,1D-CNN TensorFlow,5,0.48668367346938773,50,99303.5933750001,False
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,1D-CNN TensorFlow,10,0.47243877551020413,50,106346.86970799998,False
mmc_enriched_features,mmc,enriched,mmc_flat_timing_channels_plus_distribution_delta_trigraph_adaptive,1D-CNN TensorFlow,20,0.4763265306122449,50,115886.75975000001,False
