dataset,source_dataset,feature_mode,feature_set,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,adaptive_selected_feature_count
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A001,7,5,88,76,0.5526315789473685,0.6,0.5763157894736842,0.4444444444444444,0.44999999999999996,-295444.3125,0.43037500017817365,0.0002926913617152928,0.023708000298938714,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A003,3,2,92,79,0.21518987341772153,0.0,0.10759493670886076,0.7901234567901234,0.8417721518987341,-67.68926239013672,0.055500000144093065,0.00021502469112251506,0.01741699998092372,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A004,3,3,92,78,0.19230769230769232,0.3333333333333333,0.26282051282051283,0.8024691358024691,0.888888888888889,-83.91758728027344,0.04562499998428393,0.00019444444290086352,0.015749999874969944,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A005,4,3,91,78,0.038461538461538464,0.0,0.019230769230769232,0.9629629629629629,0.9700854700854701,-19.982030868530273,0.044749999688065145,0.00019444444290086352,0.015749999874969944,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A006,3,2,92,79,0.4936708860759494,0.5,0.49683544303797467,0.5061728395061729,0.5126582278481012,-174.08868408203125,0.04374999980427674,0.0001908395090679362,0.015458000234502833,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A008,3,3,92,78,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7777777777777778,-17070.080078125,0.044082999920647126,0.00019290123250188858,0.015624999832652975,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A009,3,3,92,78,0.9615384615384616,1.0,0.9807692307692308,0.037037037037037035,0.02991452991452992,-13000056.0,0.05587499981629662,0.00042592592414879575,0.034499999856052455,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A010,4,3,91,78,0.0,0.0,0.0,1.0,1.0,-17.572507858276367,0.052040999889868544,0.00020883950397816348,0.016915999822231242,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A011,3,2,92,79,0.8607594936708861,1.0,0.9303797468354431,0.13580246913580246,0.06962025316455694,-5000348.5,0.04320899961385294,0.000185703704770321,0.015042000086396001,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A013,2,2,93,79,0.4936708860759494,0.5,0.49683544303797467,0.5061728395061729,0.5126582278481013,-264545.53125,0.04095799977221759,0.00018055555492425395,0.01462499994886457,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A015,2,2,93,79,0.0759493670886076,0.0,0.0379746835443038,0.9259259259259259,0.9430379746835443,-79.03832244873047,0.039542000195069704,0.00017592592934149399,0.014250000276661012,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A017,4,3,91,78,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3589743589743589,-276336.90625,0.043541000195546076,0.00019392592425172126,0.01570799986438942,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A030,2,2,93,79,0.4936708860759494,0.5,0.49683544303797467,0.5061728395061729,0.4810126582278481,-651116.5625,0.04191700008959742,0.0001939382698001731,0.01570899985381402,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A031,3,2,92,79,0.189873417721519,0.0,0.0949367088607595,0.8148148148148148,0.8354430379746836,-82.89140319824219,0.056833000144251855,0.00039506172739762677,0.03199999991920777,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A032,1,2,94,79,0.11392405063291139,0.0,0.056962025316455694,0.8888888888888888,0.9303797468354431,-452348672.0,0.02604200017231051,0.0001872469095551311,0.01516699967396562,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,A035,2,2,93,79,0.22784810126582278,0.0,0.11392405063291139,0.7777777777777778,0.8670886075949367,-1100.4195556640625,0.05545800013351254,0.00021862962495544235,0.01770899962139083,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,M001,8,6,87,75,0.48,0.5,0.49,0.5185185185185185,0.54,-10.778200149536133,0.054958000418992015,0.00021398765943839537,0.017333000414510025,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,M002,6,4,89,77,0.7142857142857143,0.75,0.7321428571428572,0.2839506172839506,0.4025974025974026,-400032.78125,0.042749999920488335,0.00018261728397237113,0.014792000001762062,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,M003,1,2,94,79,0.05063291139240506,0.0,0.02531645569620253,0.9506172839506173,0.9556962025316456,-465147168.0,0.09287500006394112,0.00022272839195477305,0.018040999748336617,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,M004,3,3,92,78,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3803418803418803,-672936.9375,0.04254199984643492,0.00018518518612117875,0.015000000075815478,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,M005,1,2,94,79,0.16455696202531644,0.0,0.08227848101265822,0.8395061728395061,0.9113924050632911,-251121472.0,0.0245829996856628,0.000185703704770321,0.015042000086396001,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,P001,4,3,91,78,0.1282051282051282,0.0,0.0641025641025641,0.8765432098765432,0.8931623931623931,-28.588504791259766,0.04112499982511508,0.00018159259222253846,0.014708999970025616,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,P003,3,3,92,78,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4658119658119658,-48.0859375,0.05945800012341351,0.00018158024667408663,0.014707999980601016,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,P007,3,3,92,78,0.11538461538461539,0.0,0.057692307692307696,0.8888888888888888,0.9487179487179487,-182.9573974609375,0.040082999930746155,0.0001846666674720365,0.014958000065234955,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,P008,6,5,89,76,0.5921052631578947,0.6,0.5960526315789474,0.4074074074074074,0.4842105263157895,-61.08992385864258,0.039290999666263815,0.0001738642002933768,0.01408300022376352,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,P009,8,6,87,75,0.16,0.16666666666666666,0.16333333333333333,0.8395061728395061,0.8955555555555555,-14.169207572937012,0.05662499961545109,0.00021861728502115533,0.017708000086713582,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Scaled Manhattan Distance,python_numpy,P010,3,3,92,78,0.07692307692307693,0.0,0.038461538461538464,0.9259259259259259,0.9358974358974358,-67.724365234375,0.045541999952547485,0.00018827160691912862,0.015250000160449417,547864576,547864576,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A001,7,5,88,76,0.6973684210526315,0.6,0.6486842105263158,0.30864197530864196,0.20789473684210524,0.019243818653453683,125.22050000006857,0.00778292592763642,0.6304170001385501,547864576,549142528,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A003,3,2,92,79,0.02531645569620253,0.0,0.012658227848101266,0.9753086419753086,0.9746835443037976,0.14374695129887646,77.05929100029607,0.006724790126346856,0.5447080002340954,549142528,549142528,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A004,3,3,92,78,0.10256410256410256,0.0,0.05128205128205128,0.9012345679012346,0.9444444444444444,0.02397654535376688,103.20287500007908,0.0069845678965829855,0.5657499996232218,549142528,549191680,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A005,4,3,91,78,0.05128205128205128,0.0,0.02564102564102564,0.9506172839506173,0.9615384615384616,0.15462027455873723,82.80287500019767,0.006942382714004014,0.5623329998343252,549191680,549191680,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A006,3,2,92,79,0.759493670886076,1.0,0.879746835443038,0.2345679012345679,0.22784810126582275,0.008337095071249695,82.07645899983618,0.007013382715448654,0.568083999951341,549191680,549208064,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A008,3,3,92,78,0.0,0.0,0.0,1.0,0.9999999999999999,0.7253422284701612,64.89025000018955,0.0070730493799028744,0.5729169997721328,549208064,549208064,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A009,3,3,92,78,0.038461538461538464,0.0,0.019230769230769232,0.9629629629629629,0.9658119658119658,0.43112033689108675,84.30620900026042,0.006572012341761657,0.5323329996826942,549208064,549208064,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A010,4,3,91,78,0.15384615384615385,0.0,0.07692307692307693,0.8518518518518519,0.9273504273504273,0.01567920166685963,100.51924999970652,0.006996913579774785,0.5667499999617576,549208064,549208064,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A011,3,2,92,79,0.4177215189873418,0.5,0.4588607594936709,0.5802469135802469,0.5221518987341772,0.012778167090304807,90.93050000001313,0.00677675308996882,0.5489170002874744,549208064,549208064,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A013,2,2,93,79,0.06329113924050633,0.0,0.03164556962025317,0.9382716049382716,0.9683544303797469,0.2754940404099645,81.26170800005639,0.006717074074351982,0.5440830000225105,549208064,549208064,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A015,2,2,93,79,0.4177215189873418,0.5,0.4588607594936709,0.5802469135802469,0.7816455696202531,0.041784209561895005,84.98641699998188,0.006746407406252628,0.5464589999064629,549208064,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A017,4,3,91,78,0.0,0.0,0.0,1.0,1.0,0.5776693836029455,85.97487499991985,0.006562765430530424,0.5315839998729643,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A030,2,2,93,79,0.05063291139240506,0.0,0.02531645569620253,0.9506172839506173,0.9620253164556962,0.45374810263448495,78.32120800003395,0.0076147160502898015,0.6167920000734739,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A031,3,2,92,79,0.11392405063291139,0.0,0.056962025316455694,0.8888888888888888,0.9145569620253164,0.04693732799723462,86.3094579999597,0.006915629629800628,0.5601660000138509,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A032,1,2,94,79,0.10126582278481013,0.0,0.05063291139240506,0.9012345679012346,0.9620253164556962,0.5643466127607667,76.18099999990591,0.007916148150135636,0.6412080001609866,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,A035,2,2,93,79,0.3670886075949367,0.5,0.43354430379746833,0.6296296296296297,0.7531645569620253,0.045362347579688024,87.94762500019715,0.006997950617073069,0.5668339999829186,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,M001,8,6,87,75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7866666666666666,0.09719395912181598,168.40366699989318,0.007473246917212281,0.6053330002941948,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,M002,6,4,89,77,0.5064935064935064,0.5,0.5032467532467533,0.49382716049382713,0.5194805194805195,0.008070287021412156,127.83883399970364,0.007039098762353755,0.5701669997506542,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,M003,1,2,94,79,0.0,0.0,0.0,1.0,1.0,0.8468005866986984,61.629667000033805,0.0071337530872695445,0.5778340000688331,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,M004,3,3,92,78,0.038461538461538464,0.0,0.019230769230769232,0.9629629629629629,0.9850427350427351,0.7043233563129324,98.97379199992429,0.006955246915844956,0.5633750001834414,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,M005,1,2,94,79,0.0759493670886076,0.0,0.0379746835443038,0.9259259259259259,0.9430379746835442,0.611244876116701,73.21887499983859,0.00821759258991576,0.6656249997831765,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,P001,4,3,91,78,0.44871794871794873,0.3333333333333333,0.391025641025641,0.5555555555555556,0.6794871794871795,0.02081874888117891,100.65549999990253,0.007622938269771201,0.6174579998514673,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,P003,3,3,92,78,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7713675213675214,0.0384175677737789,109.71629200003008,0.007947530865535948,0.6437500001084118,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,P007,3,3,92,78,0.14102564102564102,0.0,0.07051282051282051,0.8641975308641975,0.9188034188034189,0.06986258448427654,68.79845799994655,0.006626543213146592,0.536750000264874,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,P008,6,5,89,76,0.5789473684210527,0.6,0.5894736842105264,0.41975308641975306,0.45789473684210524,0.011099125286318656,110.46899999973903,0.006757716052146143,0.5473750002238376,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,P009,8,6,87,75,0.68,0.6666666666666666,0.6733333333333333,0.32098765432098764,0.43999999999999995,0.024776113531955603,110.47662500004662,0.008068407410457529,0.6535410002470599,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,LightGBM Classifier,python_lightgbm,P010,3,3,92,78,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.37179487179487175,0.01032555359597691,87.86874999987049,0.00862962963170211,0.6990000001678709,549224448,549224448,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,1D-CNN TensorFlow,python_tensorflow_keras,A001,7,5,88,76,0.39473684210526316,0.4,0.3973684210526316,0.6049382716049383,0.6578947368421053,0.5006537437438965,877.6502079999773,0.7828554444468291,63.41129100019316,790364160,790364160,not_enabled
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,1D-CNN TensorFlow,python_tensorflow_keras,A003,3,2,92,79,0.45569620253164556,0.5,0.4778481012658228,0.5432098765432098,0.6518987341772152,0.46890589594841003,824.6723329998531,0.7928343580255229,64.21958300006736,790364160,790364160,not_enabled
