dataset,source_dataset,feature_mode,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,adaptive_selected_feature_count,genuine_training_samples,evaluated_subjects,EER,completed_at
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A001,train_and_infer,0.18429099964123452,0.060165999911987456,0.12412499972924707,0.0015324074040647786,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A003,train_and_infer,0.1513749998593994,0.06962499992368976,0.08174999993570964,0.001009259258465551,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A004,train_and_infer,0.12304199981372221,0.04816699993170914,0.07487499988201307,0.000924382714592754,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A005,train_and_infer,0.12358399999357061,0.0491670002702449,0.07441699972332572,0.0009187283916459965,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A006,train_and_infer,0.16112499997689156,0.050874999942607246,0.11025000003428431,0.0013611111115343743,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A008,train_and_infer,0.24904199972297647,0.05120900004840223,0.19783299967457424,0.0024423827120317806,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A009,train_and_infer,0.1285829998778354,0.05241700000624405,0.07616599987159134,0.0009403209860690289,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A010,train_and_infer,0.12233400002514827,0.04812499992112862,0.07420900010401965,0.0009161604951113537,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A011,train_and_infer,0.3137499998047133,0.04770799978359719,0.2660420000211161,0.003284469136063162,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A013,train_and_infer,0.1173330001620343,0.043417000142653706,0.07391600001938059,0.0009125432101158098,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A015,train_and_infer,0.11766799980250653,0.044208999952388695,0.07345899985011783,0.0009069012327175041,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A017,train_and_infer,0.14579200023945305,0.06337500008157804,0.08241700015787501,0.001017493829109568,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A030,train_and_infer,0.18312399970454862,0.052165999932185514,0.1309579997723631,0.0016167654292884334,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A031,train_and_infer,0.4097080000065034,0.06570799996552523,0.3440000000409782,0.004246913580752817,1657716736.0,1657716736.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A032,train_and_infer,0.1312919998781581,0.03645900005722069,0.0948329998209374,0.0011707777755671283,1657716736.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,A035,train_and_infer,0.12462599988793954,0.04891699973086361,0.07570900015707593,0.000934679014284888,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,M001,train_and_infer,0.127792000057525,0.0542090001545148,0.0735829999030102,0.0009084320975680273,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,M002,train_and_infer,0.12383400007820455,0.0507919999108708,0.07304200016733375,0.0009017530884856019,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,M003,train_and_infer,0.09879199978968245,0.02537499995014514,0.07341699983953731,0.0009063827140683619,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,M004,train_and_infer,0.12375100050121546,0.04933400032314239,0.07441700017807307,0.0009187283972601613,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,M005,train_and_infer,0.10054099993794807,0.026958000034937868,0.0735829999030102,0.0009084320975680273,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,P001,train_and_infer,0.1814580000427668,0.08766600012677372,0.09379199991599307,0.0011579259248888033,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,P003,train_and_infer,0.12562499978230335,0.045792000037181424,0.07983299974512192,0.0009855925894459497,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,P007,train_and_infer,0.1193329999296111,0.04654199983633589,0.07279100009327522,0.0008986543221392002,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,P008,train_and_infer,0.15870800007178332,0.05229099997450248,0.10641700009728083,0.001313790124657788,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,P009,train_and_infer,0.147166999795445,0.06604200007132022,0.08112499972412479,0.0010015432064706764,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,P010,train_and_infer,0.12141600018367171,0.046999999995023245,0.07441600018864847,0.0009187160517117094,1657733120.0,1657733120.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,all,data_efficiency,75.97987500003,,,,,,,1.0,27.0,0.47002448933272833,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,all,data_efficiency,67.29166700006317,,,,,,,2.0,24.0,0.5549078314996869,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,all,data_efficiency,56.17695800037836,,,,,,,3.0,20.0,0.5290927597829663,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,Scaled Manhattan Distance,all,data_efficiency,27.005124999959662,,,,,,,5.0,5.0,0.5904360902255639,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A001,train_and_infer,112.03037500035862,111.21991700019862,0.810458000159997,0.010005654322962926,1662894080.0,1662959616.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A003,train_and_infer,99.57387500026016,98.70641700035776,0.867457999902399,0.010709358023486408,1662959616.0,1663074304.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A004,train_and_infer,100.0094569999419,99.19866600012028,0.8107909998216201,0.010009765429896544,1663074304.0,1663074304.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A005,train_and_infer,94.80150000035792,93.86762500025725,0.9338750001006701,0.011529320988897163,1663074304.0,1663139840.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A006,train_and_infer,98.34012399960557,97.48058299965123,0.8595409999543335,0.010611617283386833,1663139840.0,1663139840.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A008,train_and_infer,79.48008299990761,78.67558299994926,0.8044999999583524,0.009932098764917931,1663139840.0,1663303680.0,384.0,,,,
collected_data_analysis_enriched_features,collected_data_analysis,enriched,LightGBM Classifier,A009,train_and_infer,95.08345799986273,94.2221669997707,0.8612910000920238,0.010633222223358317,1663303680.0,1663303680.0,384.0,,,,
