dataset,source_dataset,feature_mode,feature_set,Model,Genuine Training Samples,EER,evaluated_subjects,elapsed_ms,stopped_after_target_reached
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,1,0.47002448933272833,27,75.97987500003,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,2,0.5549078314996869,24,67.29166700006317,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,3,0.5290927597829663,20,56.17695800037836,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,5,0.5904360902255639,5,27.005124999959662,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,LightGBM Classifier,1,0.41849990740952314,27,2062.5432090000686,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,LightGBM Classifier,2,0.412065504957327,24,2202.3947079997015,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,LightGBM Classifier,3,0.28587521711022706,20,1940.7542909998483,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,LightGBM Classifier,5,0.6925698336750967,5,510.3931250000642,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,1D-CNN TensorFlow,1,0.43190518391717586,27,44374.0358330001,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,1D-CNN TensorFlow,2,0.5401843779046477,24,41957.85475000003,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,1D-CNN TensorFlow,3,0.42480639463800685,20,36706.91979200001,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,1D-CNN TensorFlow,5,0.6140362269309637,5,9446.585125000183,False
