dataset,source_dataset,feature_mode,feature_set,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes,adaptive_selected_feature_count
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A001,7,5,88,76,0.6973684210526315,0.6,0.6486842105263158,0.30864197530864196,0.25263157894736843,-130178411921408.0,0.060165999911987456,0.0015324074040647786,0.12412499972924707,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A003,3,2,92,79,0.8987341772151899,1.0,0.9493670886075949,0.09876543209876543,0.0949367088607595,-6.939555612799795e+16,0.06962499992368976,0.001009259258465551,0.08174999993570964,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A004,3,3,92,78,0.3974358974358974,0.3333333333333333,0.36538461538461536,0.6049382716049383,0.5726495726495727,-2.059775261854925e+16,0.04816699993170914,0.000924382714592754,0.07487499988201307,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A005,4,3,91,78,0.4358974358974359,0.3333333333333333,0.3846153846153846,0.5679012345679012,0.6581196581196581,-107474996690944.0,0.0491670002702449,0.0009187283916459965,0.07441699972332572,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A006,3,2,92,79,0.5189873417721519,0.5,0.509493670886076,0.48148148148148145,0.3291139240506329,-1.1502519419142144e+16,0.050874999942607246,0.0013611111115343743,0.11025000003428431,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A008,3,3,92,78,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3162393162393162,-226955903369216.0,0.05120900004840223,0.0024423827120317806,0.19783299967457424,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A009,3,3,92,78,0.6538461538461539,0.6666666666666666,0.6602564102564102,0.345679012345679,0.34615384615384615,-309410349973504.0,0.05241700000624405,0.0009403209860690289,0.07616599987159134,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A010,4,3,91,78,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7051282051282052,-254166937108480.0,0.04812499992112862,0.0009161604951113537,0.07420900010401965,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A011,3,2,92,79,0.6835443037974683,0.5,0.5917721518987342,0.32098765432098764,0.15822784810126583,-2.552587969835827e+16,0.04770799978359719,0.003284469136063162,0.2660420000211161,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A013,2,2,93,79,0.7468354430379747,0.5,0.6234177215189873,0.25925925925925924,0.15189873417721522,-2146508019335168.0,0.043417000142653706,0.0009125432101158098,0.07391600001938059,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A015,2,2,93,79,0.3291139240506329,0.5,0.41455696202531644,0.6666666666666666,0.8291139240506329,-8524164684054528.0,0.044208999952388695,0.0009069012327175041,0.07345899985011783,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A017,4,3,91,78,0.782051282051282,0.6666666666666666,0.7243589743589743,0.2222222222222222,0.14957264957264954,-141400003837952.0,0.06337500008157804,0.001017493829109568,0.08241700015787501,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A030,2,2,93,79,0.4177215189873418,0.5,0.4588607594936709,0.5802469135802469,0.620253164556962,-1.9508078613364736e+16,0.052165999932185514,0.0016167654292884334,0.1309579997723631,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A031,3,2,92,79,0.4936708860759494,0.5,0.49683544303797467,0.5061728395061729,0.42405063291139244,-2.953085080253235e+16,0.06570799996552523,0.004246913580752817,0.3440000000409782,1657716736,1657716736,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A032,1,2,94,79,0.20253164556962025,0.0,0.10126582278481013,0.8024691358024691,0.8607594936708861,-3.797576152881562e+16,0.03645900005722069,0.0011707777755671283,0.0948329998209374,1657716736,1657733120,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,A035,2,2,93,79,0.4936708860759494,0.5,0.49683544303797467,0.5061728395061729,0.620253164556962,-3.2966766657273856e+16,0.04891699973086361,0.000934679014284888,0.07570900015707593,1657733120,1657733120,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,M001,8,6,87,75,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.7777777777777778,-568.74267578125,0.0542090001545148,0.0009084320975680273,0.0735829999030102,1657733120,1657733120,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,M002,6,4,89,77,0.42857142857142855,0.75,0.5892857142857143,0.5555555555555556,0.5941558441558442,-297698689024.0,0.0507919999108708,0.0009017530884856019,0.07304200016733375,1657733120,1657733120,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,M003,1,2,94,79,0.24050632911392406,0.0,0.12025316455696203,0.7654320987654321,0.829113924050633,-4.602502845772595e+16,0.02537499995014514,0.0009063827140683619,0.07341699983953731,1657733120,1657733120,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,M004,3,3,92,78,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3974358974358974,-4.378535333671731e+16,0.04933400032314239,0.0009187283972601613,0.07441700017807307,1657733120,1657733120,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,M005,1,2,94,79,0.189873417721519,0.0,0.0949367088607595,0.8148148148148148,0.8544303797468354,-1.5431744480083968e+16,0.026958000034937868,0.0009084320975680273,0.0735829999030102,1657733120,1657733120,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,P001,4,3,91,78,0.46153846153846156,0.3333333333333333,0.39743589743589747,0.5432098765432098,0.45299145299145294,-12174602797056.0,0.08766600012677372,0.0011579259248888033,0.09379199991599307,1657733120,1657733120,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,P003,3,3,92,78,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5769230769230769,-574849898512384.0,0.045792000037181424,0.0009855925894459497,0.07983299974512192,1657733120,1657733120,384
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution_adaptive,Scaled Manhattan Distance,python_numpy,P007,3,3,92,78,0.11538461538461539,0.0,0.057692307692307696,0.8888888888888888,0.9423076923076923,-0.0,0.04654199983633589,0.0008986543221392002,0.07279100009327522,1657733120,1657733120,384
