dataset,source_dataset,feature_mode,feature_set,Model,Genuine Training Samples,EER,evaluated_subjects,elapsed_ms,stopped_after_target_reached
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,1,0.39260099261986886,27,35.86841699871002,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,2,0.4061098002412126,24,29.63916699991387,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,3,0.3902124239296124,20,23.489999999583233,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Template kNN Distance,5,0.41707040328092965,5,8.721125001102337,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Device-Aware Template kNN,1,0.39260099261986886,27,64.95429200003855,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Device-Aware Template kNN,2,0.4061098002412126,24,62.92895799924736,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Device-Aware Template kNN,3,0.37931498803217656,20,48.16008299894747,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Device-Aware Template kNN,5,0.41707040328092965,5,12.916457999381237,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,PCA Mahalanobis Distance,1,0.39260099261986886,27,41.35258299902489,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,PCA Mahalanobis Distance,2,0.4254558404712469,24,39.47683300066274,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,PCA Mahalanobis Distance,3,0.35949561697463095,20,29.439500000080443,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,PCA Mahalanobis Distance,5,0.48208976987924357,5,8.476083001369261,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,One-Class SVM,1,0.39260099261986886,27,42.884959000730305,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,One-Class SVM,2,0.4055891359547255,24,36.6967919999297,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,One-Class SVM,3,0.3930889250656073,20,30.699667000590125,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,One-Class SVM,5,0.428930963773069,5,8.902583000235609,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Isolation Forest,1,0.39260099261986886,27,41.084167000008165,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Isolation Forest,2,0.5,24,1628.1439579997823,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Isolation Forest,3,0.5348826017974918,20,1454.2822080002225,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Isolation Forest,5,0.4174661654135338,5,359.4519580001361,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Local Outlier Factor,1,0.39260099261986886,27,54.0768749997369,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Local Outlier Factor,2,0.4093521187525185,24,76.7830419990787,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Local Outlier Factor,3,0.3898919111090996,20,58.83854199964844,False
collected_data_analysis,collected_data_analysis,current,collected_stored_browser_baseline_features,Local Outlier Factor,5,0.40087696514012305,5,15.184207999482169,False
