dataset,source_dataset,feature_mode,feature_set,Model,Genuine Training Samples,EER,evaluated_subjects,elapsed_ms,stopped_after_target_reached
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Template kNN Distance,1,0.5071770647164828,27,108.38150000017777,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Template kNN Distance,2,0.5323425630554212,24,107.65045900006953,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Template kNN Distance,3,0.5359711940291554,20,102.92104200016183,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Template kNN Distance,5,0.40280359990886316,5,55.31854099899647,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Device-Aware Template kNN,1,0.5071770647164828,27,152.31070799927693,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Device-Aware Template kNN,2,0.5323425630554212,24,136.90799999858427,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Device-Aware Template kNN,3,0.5359711940291554,20,125.61275000007299,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Device-Aware Template kNN,5,0.40280359990886316,5,51.69424999985495,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,PCA Mahalanobis Distance,1,0.4449786243645893,27,189.3514999992476,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,PCA Mahalanobis Distance,2,0.4840632549680684,24,178.44495800090954,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,PCA Mahalanobis Distance,3,0.47635669099942923,20,143.97837499927846,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,PCA Mahalanobis Distance,5,0.4914739120528594,5,59.92179100030626,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,One-Class SVM,1,0.5071770647164828,27,262.6650829988648,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,One-Class SVM,2,0.49153494993976343,24,207.18712500092806,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,One-Class SVM,3,0.4866380846002765,20,156.3449999994191,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,One-Class SVM,5,0.49812349054454313,5,60.57554200015147,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Isolation Forest,1,0.5071770647164828,27,231.4684169996326,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Isolation Forest,2,0.5,24,1824.7121250005875,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Isolation Forest,3,0.5242358596877251,20,1528.6661669997557,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Isolation Forest,5,0.4666668945089998,5,404.33716700135847,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Local Outlier Factor,1,0.5071770647164828,27,298.64699999961886,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Local Outlier Factor,2,0.46222327320137113,24,260.3847499995027,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Local Outlier Factor,3,0.49925414858292944,20,216.07345799930044,False
collected_data_analysis_enriched_features,collected_data_analysis,enriched,collected_stored_features_plus_key_sequence_digraph_trigraph_distribution,Local Outlier Factor,5,0.6160786056049214,5,80.11158299996168,False
