dataset,source_dataset,feature_mode,feature_set,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s002,200,200,10000,10000,0.29,0.29,0.29,0.71,0.7732415,-0.4888751804828644,5.151416999069625,0.016202230392224796,165.2627500006929,216989696,725925888
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s003,200,200,10000,10000,0.45,0.45,0.45,0.55,0.62108,-0.644280731678009,6.184665999171557,0.011618468137135542,118.50837499878253,725925888,742801408
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s004,200,200,10000,10000,0.125,0.125,0.125,0.875,0.9368755,-0.4477567970752716,5.700665999029297,0.012589505686264602,128.41295799989894,742801408,759218176
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s005,200,200,10000,10000,0.0605,0.06,0.06025,0.9395098039215686,0.9632049999999999,-0.508956253528595,6.016667000949383,0.010800081666756715,110.1608330009185,759218176,759283712
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s007,200,200,10000,10000,0.2295,0.23,0.22975,0.7704901960784314,0.8536455000000001,-0.42387333512306213,6.076084000596893,0.011279816176373096,115.05412499900558,759283712,768196608
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s008,200,200,10000,10000,0.15,0.15,0.15,0.85,0.9308305,-0.40686067938804626,5.492583999512135,0.010699930588124712,109.13929199887207,768196608,768196608
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s010,200,200,10000,10000,0.0583,0.06,0.059149999999999994,0.9416666666666667,0.9829085000000001,-0.37031257152557373,5.10937499893771,0.014318627451097663,146.05000000119617,768196608,793001984
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s011,200,200,10000,10000,0.2177,0.22,0.21885,0.7822549019607843,0.8556134999999999,-0.5316941738128662,5.741500001022359,0.01099540843147135,112.15316600100778,793001984,793001984
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s012,200,200,10000,10000,0.1128,0.115,0.1139,0.8871568627450981,0.9603755,-0.5953873991966248,5.1471660008246545,0.010962818627483691,111.82075000033365,793001984,793001984
dsl,dsl,current,dsl_current_h_dd_ud,Template kNN Distance,python_numpy_template_knn,s013,200,200,10000,10000,0.135,0.135,0.135,0.865,0.941862,-0.4150627553462982,5.130416999236331,0.01262100088234886,128.73420899995835,793001984,809828352
