dataset,source_dataset,feature_mode,feature_set,Model,Genuine Training Samples,EER,evaluated_subjects,elapsed_ms,stopped_after_target_reached
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,5,0.3098950980392157,51,4561.013291999188,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,10,0.2784725490196079,51,4950.686416999815,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,25,0.24489705882352938,51,6169.879875000333,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,50,0.22378529411764705,51,8503.042457999982,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,100,0.20346274509803922,51,11723.72041699964,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,200,0.1758254901960784,51,19709.310000000187,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Device-Aware Template kNN,5,0.3098950980392157,51,14820.907458000875,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Device-Aware Template kNN,10,0.2784725490196079,51,15506.532957999298,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Device-Aware Template kNN,25,0.24489705882352938,51,16650.66508399832,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Device-Aware Template kNN,50,0.22378529411764705,51,19190.4534589994,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Device-Aware Template kNN,100,0.20346274509803922,51,26689.60991699896,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Device-Aware Template kNN,200,0.1758254901960784,51,34477.67420799937,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,PCA Mahalanobis Distance,5,0.30011176470588236,51,4317.906292000771,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,PCA Mahalanobis Distance,10,0.2993803921568628,51,4587.539250000191,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,PCA Mahalanobis Distance,25,0.27903823529411764,51,4269.717584000318,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,PCA Mahalanobis Distance,50,0.2568754901960784,51,4226.453458000833,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,PCA Mahalanobis Distance,100,0.21778137254901955,51,4328.343125000174,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,PCA Mahalanobis Distance,200,0.17407254901960786,51,4192.31254099941,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,One-Class SVM,5,0.3156813725490196,51,4418.974750000416,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,One-Class SVM,10,0.29754803921568623,51,4467.175290999876,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,One-Class SVM,25,0.25715392156862743,51,4540.471457999956,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,One-Class SVM,50,0.23728333333333332,51,4799.8634169998695,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,One-Class SVM,100,0.20857254901960784,51,4954.80412500001,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,One-Class SVM,200,0.17874901960784315,51,5113.222250000035,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Isolation Forest,5,0.4295882352941176,51,6298.767291998956,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Isolation Forest,10,0.3794176470588235,51,8783.576375000848,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Isolation Forest,25,0.3167911764705883,51,9465.44987499874,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Isolation Forest,50,0.30428039215686276,51,10458.76162499917,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Isolation Forest,100,0.27874117647058827,51,10663.297667000734,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Isolation Forest,200,0.257456862745098,51,10643.793457998981,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Local Outlier Factor,5,0.3510823529411764,51,4484.567624998817,False
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Local Outlier Factor,10,0.3460480392156863,51,4480.626792001203,False
