dataset,source_dataset,feature_mode,feature_set,model,model_runtime,subject,train_genuine_count,test_genuine_count,train_impostor_count,test_impostor_count,FAR,FRR,EER,Accuracy,AUC,threshold,train_time_ms,inference_time_ms_per_sample,ui_blocking_time_ms,memory_before_bytes,memory_after_bytes
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s002,200,200,10000,10000,0.3,0.3,0.3,0.7,0.7774645,-0.41693422198295593,17.018415999700665,0.08859180960790386,903.6364580006193,893894656,1882472448
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s003,200,200,10000,10000,0.52,0.52,0.52,0.48,0.4739554999999999,-0.566196620464325,17.152417000033893,0.02829351715691326,288.59387500051525,1882472448,1955299328
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s004,200,200,10000,10000,0.1608,0.16,0.1604,0.8392156862745098,0.9151035,-0.377994179725647,16.198791998249362,0.027793133137368153,283.4899580011552,1955299328,1984954368
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s005,200,200,10000,10000,0.07,0.07,0.07,0.93,0.9716199999999998,-0.46185579895973206,17.13733399992634,0.028265065392071277,288.303666999127,1984954368,1998618624
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s007,200,200,10000,10000,0.3214,0.32,0.3207,0.6786274509803921,0.7732665,-0.3815561830997467,16.583417000219924,0.030271348039284076,308.76775000069756,1998618624,1999699968
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s008,200,200,10000,10000,0.135,0.135,0.135,0.865,0.9246515,-0.32653841376304626,16.977792000034242,0.029056580882324316,296.37712499970803,1999699968,1999732736
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s010,200,200,10000,10000,0.0589,0.06,0.05945,0.941078431372549,0.9854175000000001,-0.3143899142742157,15.419667000969639,0.029670526960841267,302.6393750005809,1999732736,1999732736
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s011,200,200,10000,10000,0.4218,0.42,0.4209,0.5782352941176471,0.591514,-0.5079525113105774,15.950791999784997,0.028093954215721313,286.5583330003574,1999732736,2004566016
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s012,200,200,10000,10000,0.1,0.1,0.1,0.9,0.9614474999999999,-0.487627774477005,16.208082999582984,0.02705808009808357,275.9924170004524,2004566016,2005073920
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s013,200,200,10000,10000,0.16,0.16,0.16,0.84,0.931127,-0.35111793875694275,15.031167000415735,0.028279538431282465,288.45129199908115,2005073920,2005401600
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s015,200,200,10000,10000,0.2447,0.245,0.24485,0.7552941176470588,0.8521295,-0.39460623264312744,16.300416999001754,0.031648794901961014,322.8177080000023,2005401600,2005401600
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s016,200,200,10000,10000,0.0891,0.09,0.08954999999999999,0.9108823529411765,0.959087,-0.7714319229125977,15.457333998710965,0.027495339019664885,280.4524580005818,2005401600,2005401600
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s017,200,200,10000,10000,0.0468,0.045,0.045899999999999996,0.9532352941176471,0.990879,-0.3240503966808319,15.292583000700688,0.03039609882352142,310.0402079999185,2005401600,2005401600
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s018,200,200,10000,10000,0.21,0.21,0.21,0.79,0.8696409999999999,-0.41177114844322205,14.489625000351225,0.027604914215700382,281.5701250001439,2005401600,2005401600
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s019,200,200,10000,10000,0.07,0.07,0.07,0.93,0.9668415,-0.4167141914367676,15.50649999990128,0.028092115980339883,286.5395829994668,2005401600,2005401600
dsl_enriched_features,dsl,enriched,dsl_current_h_dd_ud_plus_sequence_trigraph_distribution,Template kNN Distance,python_numpy_template_knn,s020,200,200,10000,10000,0.255,0.255,0.255,0.745,0.8177804999999998,-0.46894845366477966,16.870624998773565,0.03029526137259952,309.0116660005151,2005401600,2005401600
