dataset,source_dataset,feature_mode,model,subject,phase,elapsed_ms,train_time_ms,inference_batch_ms,inference_time_ms_per_sample,memory_before_bytes,memory_after_bytes,genuine_training_samples,evaluated_subjects,EER,completed_at
mmc,mmc,current,Template kNN Distance,1,train_and_infer,263.206417001129,74.08850000138045,189.11791699974856,0.18911791699974856,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,2,train_and_infer,219.50279100019543,74.29070800026238,145.21208299993305,0.14521208299993305,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,3,train_and_infer,173.8432490001287,66.63741600095818,107.20583299917052,0.10720583299917052,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,4,train_and_infer,176.22670799937623,65.46291699851281,110.76379100086342,0.11076379100086342,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,5,train_and_infer,183.65704200004984,68.59941699985939,115.05762500019046,0.11505762500019046,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,6,train_and_infer,179.9816250004369,66.93000000086613,113.05162499957078,0.11305162499957078,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,7,train_and_infer,190.8888760008267,67.55983400034893,123.32904200047778,0.12332904200047778,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,8,train_and_infer,170.1945410004555,64.49091600006795,105.70362500038755,0.10570362500038755,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,9,train_and_infer,177.53658299989183,63.9946660012356,113.54191699865623,0.11354191699865623,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,10,train_and_infer,176.82087499997579,67.62924999929965,109.19162500067614,0.10919162500067614,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,11,train_and_infer,182.35983399790712,66.3057919991843,116.05404199872282,0.11605404199872282,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,12,train_and_infer,197.55070800056274,67.88975000017672,129.66095800038602,0.12966095800038602,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,13,train_and_infer,179.850376000104,68.84445899959246,111.00591700051154,0.11100591700051154,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,14,train_and_infer,168.45699999976205,64.72837500041351,103.72862499934854,0.10372862499934854,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,15,train_and_infer,172.2548750021815,69.185208001727,103.0696670004545,0.1030696670004545,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,16,train_and_infer,229.51495900088048,69.17629199961084,160.33866700126964,0.16033866700126964,2033860608.0,2033860608.0,,,,
mmc,mmc,current,Template kNN Distance,17,train_and_infer,167.14754200074822,65.16812500012747,101.97941700062074,0.10197941700062074,2033860608.0,2033860608.0,,,,
